"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","word","condition","screen_id"
"true","false","[]","[]","[]","preload","0","722","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","358604","0.0-1.0","357880","
   <p>您好，欢迎参加本次实验。</p>
   <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
   <p>如果您未见过上述内容，请咨询实验员。</p>
   <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
   <p> <div style = ""color: green""><按任意键至下页></div> </p>
   "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","360361","0.0-2.0","1756","
   <p>本实验首先需要您填写一些基本个人信息。</p>
   <p> <div style = ""color: green""><按任意键至下页></div></p>
   "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","360363","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","371600","0.0-3.0-1.0","11234","","{""Q0"":""34 ""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","373042","0.0-3.0-2.0","1439","<p style = 'color : white'>您的性别</p>","0","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","384200","0.0-3.0-3.0","11154","","{""Q0"":""2000""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","389311","0.0-3.0-4.0","5107","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","465975","0.0-4.0","76661","","","","85.6","53.98","437.8716131647998","5.1186380705607375","558.95","8.757432263295994","50","0.9865905599078196","28.8","15.28","","","","","","","","","","","",""
"true","","","","","fullscreen","9","476068","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","520737","0.0-6.0","44667","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":2891},{""page_index"":1,""viewing_time"":36692},{""page_index"":2,""viewing_time"":3397},{""page_index"":3,""viewing_time"":1687}]","","","","","","","","","","",""
"","","","","","psychophysics","11","523406","0.0-7.0-0.0-0.0","null","","null","","","","","","","","","","","","","key","null","16.666000000000018","720","446","f","false","img/S_ambi40.png","方形","prac_image_first",""
"","","","","","html-keyboard-response","12","523713","0.0-7.0-0.0-1.0","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","13","525264","0.0-7.0-0.0-0.1","391","","j","","","","","","","","","","","","","key","j","16.666000000001237","720","446","f","false","img/T_ambi40.png","三角","prac_image_first",""
"","","","","","html-keyboard-response","14","525569","0.0-7.0-0.0-1.1","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","15","527280","0.0-7.0-0.0-0.2","559","","f","","","","","","","","","","","","","key","f","16.66599999999915","720","446","j","false","img/T_ambi40.png","圆形","prac_image_first",""
"","","","","","html-keyboard-response","16","527586","0.0-7.0-0.0-1.2","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","17","530239","0.0-7.0-0.0-0.3","null","","null","","","","","","","","","","","","","key","null","16.66599999999982","720","446","j","false","img/C_ambi40.png","方形","prac_image_first",""
"","","","","","html-keyboard-response","18","530545","0.0-7.0-0.0-1.3","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","19","532315","0.0-7.0-0.0-0.4","615","","f","","","","","","","","","","","","","key","f","16.666000000000487","720","446","f","true","img/S_ambi40.png","方形","prac_image_first",""
"","","","","","html-keyboard-response","20","532618","0.0-7.0-0.0-1.4","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","21","535273","0.0-7.0-0.0-0.5","null","","null","","","","","","","","","","","","","key","null","16.669316455696066","720","446","j","false","img/C_ambi40.png","三角","prac_image_first",""
"","","","","","html-keyboard-response","22","535578","0.0-7.0-0.0-1.5","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","23","537725","0.0-7.0-0.0-0.6","989","","f","","","","","","","","","","","","","key","f","16.666000000000167","720","446","f","true","img/T_ambi40.png","三角","prac_image_first",""
"","","","","","html-keyboard-response","24","538034","0.0-7.0-0.0-1.6","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","25","540697","0.0-7.0-0.0-0.7","null","","null","","","","","","","","","","","","","key","null","16.66600000000055","720","446","j","false","img/S_ambi40.png","圆形","prac_image_first",""
"","","","","","html-keyboard-response","26","541001","0.0-7.0-0.0-1.7","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","27","543057","0.0-7.0-0.0-0.8","902","","j","","","","","","","","","","","","","key","j","16.665999999999567","720","446","j","true","img/S_ambi40.png","三角","prac_image_first",""
"","","","","","html-keyboard-response","28","543360","0.0-7.0-0.0-1.8","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","29","545313","0.0-7.0-0.0-0.9","801","","f","","","","","","","","","","","","","key","f","16.666000000000448","720","446","f","true","img/C_ambi40.png","圆形","prac_image_first",""
"","","","","","html-keyboard-response","30","545619","0.0-7.0-0.0-1.9","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","31","548006","0.0-7.0-0.0-0.10","1234","","f","","","","","","","","","","","","","key","f","16.666000000000086","720","446","j","false","img/T_ambi40.png","方形","prac_image_first",""
"","","","","","html-keyboard-response","32","548312","0.0-7.0-0.0-1.10","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","33","550568","0.0-7.0-0.0-0.11","1102","","j","","","","","","","","","","","","","key","j","16.66600000000048","720","446","f","false","img/C_ambi40.png","圆形","prac_image_first",""
"","","","","","html-keyboard-response","34","550873","0.0-7.0-0.0-1.11","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","35","553244","0.0-7.0-0.0-0.12","1211","","f","","","","","","","","","","","","","key","f","16.66599999999971","720","446","j","false","img/C_ambi40.png","方形","prac_image_first",""
"","","","","","html-keyboard-response","36","553554","0.0-7.0-0.0-1.12","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","37","555760","0.0-7.0-0.0-0.13","1054","","f","","","","","","","","","","","","","key","f","16.669992366411993","720","446","f","true","img/T_ambi40.png","三角","prac_image_first",""
"","","","","","html-keyboard-response","38","556067","0.0-7.0-0.0-1.13","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","39","558046","0.0-7.0-0.0-0.14","823","","f","","","","","","","","","","","","","key","f","16.665999999999904","720","446","f","true","img/S_ambi40.png","方形","prac_image_first",""
"","","","","","html-keyboard-response","40","558357","0.0-7.0-0.0-1.14","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","41","560614","0.0-7.0-0.0-0.15","1106","","j","","","","","","","","","","","","","key","j","16.66599999999961","720","446","j","true","img/T_ambi40.png","方形","prac_image_first",""
"","","","","","html-keyboard-response","42","560920","0.0-7.0-0.0-1.15","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","43","562821","0.0-7.0-0.0-0.16","749","","j","","","","","","","","","","","","","key","j","16.665999999999517","720","446","j","true","img/S_ambi40.png","圆形","prac_image_first",""
"","","","","","html-keyboard-response","44","563129","0.0-7.0-0.0-1.16","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","45","565028","0.0-7.0-0.0-0.17","744","","f","","","","","","","","","","","","","key","f","16.66599999999924","720","446","f","true","img/C_ambi40.png","圆形","prac_image_first",""
"","","","","","html-keyboard-response","46","565337","0.0-7.0-0.0-1.17","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","47","567231","0.0-7.0-0.0-0.18","743","","j","","","","","","","","","","","","","key","j","16.66600000000027","720","446","j","true","img/S_ambi40.png","三角","prac_image_first",""
"","","","","","html-keyboard-response","48","567537","0.0-7.0-0.0-1.18","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","49","569439","0.0-7.0-0.0-0.19","750","","f","","","","","","","","","","","","","key","f","16.665999999999993","720","446","j","false","img/T_ambi40.png","圆形","prac_image_first",""
"","","","","","html-keyboard-response","50","569749","0.0-7.0-0.0-1.19","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","51","571902","0.0-7.0-0.0-0.20","997","","j","","","","","","","","","","","","","key","j","16.665999999999258","720","446","f","false","img/T_ambi40.png","三角","prac_image_first",""
"","","","","","html-keyboard-response","52","572209","0.0-7.0-0.0-1.20","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","53","574075","0.0-7.0-0.0-0.21","704","","f","","","","","","","","","","","","","key","f","16.665999999999798","720","446","f","true","img/S_ambi40.png","方形","prac_image_first",""
"","","","","","html-keyboard-response","54","574376","0.0-7.0-0.0-1.21","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","55","576429","0.0-7.0-0.0-0.22","901","","j","","","","","","","","","","","","","key","j","16.67030327868854","720","446","j","true","img/C_ambi40.png","三角","prac_image_first",""
"","","","","","html-keyboard-response","56","576741","0.0-7.0-0.0-1.22","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","57","578825","0.0-7.0-0.0-0.23","926","","f","","","","","","","","","","","","","key","f","16.66599999999932","720","446","f","true","img/C_ambi40.png","圆形","prac_image_first",""
"","","","","","html-keyboard-response","58","579129","0.0-7.0-0.0-1.23","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","html-keyboard-response","59","585615","0.0-7.0-1.0-0.0","6483","<style>.context{color:white; font-size: 35px; line-height:40px}</style>                            <div><p class='context'>您正确回答了54% 的试次。</p><p class='context'>您的平均反应时为851毫秒。</p>"," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","60","595937","0.0-7.0-1.0-1.0","10318","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1375},{""page_index"":1,""viewing_time"":5621},{""page_index"":2,""viewing_time"":3322}]","","","","","","","","","","",""
"","","","","","psychophysics","61","598598","0.0-7.1-0.1-0.24","null","","null","","","","","","","","","","","","","key","null","16.667708860759628","720","446","f","false","img/C_ambi40.png","圆形","prac_image_first",""
"","","","","","html-keyboard-response","62","598905","0.0-7.1-0.1-1.24","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","63","600700","0.0-7.1-0.1-0.25","632","","f","","","","","","","","","","","","","key","f","16.666000000000185","720","446","f","true","img/S_ambi40.png","方形","prac_image_first",""
"","","","","","html-keyboard-response","64","601009","0.0-7.1-0.1-1.25","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","65","603025","0.0-7.1-0.1-0.26","862","","j","","","","","","","","","","","","","key","j","16.66599999999938","720","446","j","true","img/T_ambi40.png","方形","prac_image_first",""
"","","","","","html-keyboard-response","66","603332","0.0-7.1-0.1-1.26","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","67","605184","0.0-7.1-0.1-0.27","695","","f","","","","","","","","","","","","","key","f","16.666000000000086","720","446","f","true","img/T_ambi40.png","三角","prac_image_first",""
"","","","","","html-keyboard-response","68","605489","0.0-7.1-0.1-1.27","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","69","607443","0.0-7.1-0.1-0.28","794","","j","","","","","","","","","","","","","key","j","16.665999999999446","720","446","j","true","img/S_ambi40.png","圆形","prac_image_first",""
"","","","","","html-keyboard-response","70","607744","0.0-7.1-0.1-1.28","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","71","609799","0.0-7.1-0.1-0.29","902","","j","","","","","","","","","","","","","key","j","16.66600000000078","720","446","j","true","img/C_ambi40.png","方形","prac_image_first",""
"","","","","","html-keyboard-response","72","610104","0.0-7.1-0.1-1.29","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","73","612210","0.0-7.1-0.1-0.30","941","","j","","","","","","","","","","","","","key","j","16.666","720","446","j","true","img/C_ambi40.png","三角","prac_image_first",""
"","","","","","html-keyboard-response","74","612513","0.0-7.1-0.1-1.30","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
