"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","word","condition","screen_id"
"true","false","[]","[]","[]","preload","0","330","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","4568","0.0-1.0","4237","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","5871","0.0-2.0","1302","
     <p>本实验首先需要您填写一些基本个人信息。</p>
     <p> <div style = ""color: green""><按任意键至下页></div></p>
     "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","5873","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","10586","0.0-3.0-1.0","4711","","{""Q0"":""19""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","11480","0.0-3.0-2.0","892","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","15353","0.0-3.0-3.0","3872","","{""Q0"":""2003""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","18033","0.0-3.0-4.0","2679","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","117435","0.0-4.0","99399","","","","85.6","53.98","539.2029232403463","6.293084515271946","453.45","10.784058464806925","50","0.6991801856978336","29.76","14.28","","","","","","","","","","","",""
"true","","","","","fullscreen","9","119528","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","200842","0.0-6.0","81311","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":4373},{""page_index"":1,""viewing_time"":72552},{""page_index"":2,""viewing_time"":2831},{""page_index"":3,""viewing_time"":1553}]","","","","","","","","","","",""
"","","","","","psychophysics","11","203481","0.0-7.0-0.0-0.0","1484","","f","","","","","","","","","","","","","key","f","16.66336305732494","768","428","f","true","img/T_ambi40.png","坏人","prac_image_first",""
"","","","","","html-keyboard-response","12","203784","0.0-7.0-0.0-1.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","13","205776","0.0-7.0-0.0-0.1","834","","f","","","","","","","","","","","","","key","f","16.66264406779645","768","428","f","true","img/S_ambi40.png","常人","prac_image_first",""
"","","","","","html-keyboard-response","14","206084","0.0-7.0-0.0-1.1","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","15","207970","0.0-7.0-0.0-0.2","731","","j","","","","","","","","","","","","","key","j","16.662687499999915","768","428","j","true","img/S_ambi40.png","坏人","prac_image_first",""
"","","","","","html-keyboard-response","16","208281","0.0-7.0-0.0-1.2","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","17","210034","0.0-7.0-0.0-0.3","593","","f","","","","","","","","","","","","","key","f","16.661057142857075","768","428","f","true","img/C_ambi40.png","坏人","prac_image_first",""
"","","","","","html-keyboard-response","18","210351","0.0-7.0-0.0-1.3","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","19","212422","0.0-7.0-0.0-0.4","918","","j","","","","","","","","","","","","","key","j","16.66334146341452","768","428","j","true","img/C_ambi40.png","好人","prac_image_first",""
"","","","","","html-keyboard-response","20","212730","0.0-7.0-0.0-1.4","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","21","214928","0.0-7.0-0.0-0.5","1040","","f","","","","","","","","","","","","","key","f","16.663442748091548","768","428","f","true","img/C_ambi40.png","常人","prac_image_first",""
