subj_idx,valence,condition,CR,hit,FA,miss,hitR,faR,dprime
1,circle,image_first,40,40,0,0,0.9875,0.0125,4.482805455209891
1,circle,simultaneous,38,39,2,1,0.975,0.05,3.6048176114915265
1,circle,word_first,40,40,0,0,0.9875,0.0125,4.482805455209891
1,square,image_first,39,40,1,0,0.9875,0.025,4.201366712145
1,square,simultaneous,39,40,1,0,0.9875,0.025,4.201366712145
1,square,word_first,38,39,2,1,0.975,0.05,3.6048176114915265
1,triangle,image_first,40,39,0,1,0.975,0.0125,4.201366712144998
1,triangle,simultaneous,39,39,1,1,0.975,0.025,3.919927969080107
1,triangle,word_first,40,40,0,0,0.9875,0.0125,4.482805455209891
2,circle,image_first,38,36,2,4,0.9,0.05,2.9264051924960732
2,circle,simultaneous,39,39,1,1,0.975,0.025,3.919927969080107
2,circle,word_first,38,35,2,5,0.875,0.05,2.7952030073274807
2,square,image_first,37,40,3,0,0.9875,0.075,3.680934198543402
2,square,simultaneous,35,40,5,0,0.9875,0.125,3.3917521079809543
2,square,word_first,35,39,5,1,0.975,0.125,3.1103133649160615
2,triangle,image_first,37,39,3,1,0.975,0.075,3.399495455478509
2,triangle,simultaneous,38,38,2,2,0.95,0.05,3.289707253902944
2,triangle,word_first,40,36,0,4,0.9,0.0125,3.5229542931495454
3,circle,image_first,36,40,4,0,0.9875,0.1,3.5229542931495472
3,circle,simultaneous,36,36,4,4,0.9,0.1,2.5631031310892016
3,circle,word_first,36,37,4,3,0.925,0.1,2.7210830364830567
3,square,image_first,37,38,3,2,0.95,0.075,3.0843850978899274
3,square,simultaneous,32,37,8,3,0.925,0.2,2.28115270451137
3,square,word_first,34,36,6,4,0.9,0.15,2.31798495503839
3,triangle,image_first,40,38,0,2,0.95,0.0125,3.886256354556416
3,triangle,simultaneous,34,32,6,8,0.8,0.15,1.8780546230667037
3,triangle,word_first,36,36,4,4,0.9,0.1,2.5631031310892016
4,circle,image_first,29,35,11,5,0.875,0.275,1.7481095064184862
4,circle,simultaneous,32,36,7,4,0.9,0.1794871794871795,2.1988727511638286
